country,year,category,share,value,pair_side
Argentina,2018,temperature_exchange_equipment,0.22,8.6,x
Argentina,2018,temperature_exchange_equipment,0.22,7.2,y
Argentina,2018,temperature_exchange_equipment,0.22,8.6,x
Argentina,2018,screens_and_monitors,0.07,7.2,y
Argentina,2018,temperature_exchange_equipment,0.22,8.6,x
Argentina,2018,lamps,0.14,7.2,y
Argentina,2018,temperature_exchange_equipment,0.22,8.6,x
Argentina,2018,large_equipment,0.32,7.2,y
Argentina,2018,temperature_exchange_equipment,0.22,8.6,x
Argentina,2018,small_equipment,0.2,7.2,y
Argentina,2018,temperature_exchange_equipment,0.22,8.6,x
Argentina,2018,small_it,0.05,7.2,y
Argentina,2018,screens_and_monitors,0.14,8.6,x
Argentina,2018,temperature_exchange_equipment,0.22,7.2,y
Argentina,2018,screens_and_monitors,0.14,8.6,x
Argentina,2018,screens_and_monitors,0.07,7.2,y
Argentina,2018,screens_and_monitors,0.14,8.6,x
Argentina,2018,lamps,0.14,7.2,y
Argentina,2018,screens_and_monitors,0.14,8.6,x
Argentina,2018,large_equipment,0.32,7.2,y
Argentina,2018,screens_and_monitors,0.14,8.6,x
Argentina,2018,small_equipment,0.2,7.2,y
Argentina,2018,screens_and_monitors,0.14,8.6,x
Argentina,2018,small_it,0.05,7.2,y
Argentina,2018,lamps,0.03,8.6,x
Argentina,2018,temperature_exchange_equipment,0.22,7.2,y
Argentina,2018,lamps,0.03,8.6,x
Argentina,2018,screens_and_monitors,0.07,7.2,y
Argentina,2018,lamps,0.03,8.6,x
Argentina,2018,lamps,0.14,7.2,y
Argentina,2018,lamps,0.03,8.6,x
Argentina,2018,large_equipment,0.32,7.2,y
Argentina,2018,lamps,0.03,8.6,x
Argentina,2018,small_equipment,0.2,7.2,y
Argentina,2018,lamps,0.03,8.6,x
Argentina,2018,small_it,0.05,7.2,y
Argentina,2018,large_equipment,0.28,8.6,x
Argentina,2018,temperature_exchange_equipment,0.22,7.2,y
Argentina,2018,large_equipment,0.28,8.6,x
Argentina,2018,screens_and_monitors,0.07,7.2,y
Argentina,2018,large_equipment,0.28,8.6,x
Argentina,2018,lamps,0.14,7.2,y
Argentina,2018,large_equipment,0.28,8.6,x
Argentina,2018,large_equipment,0.32,7.2,y
Argentina,2018,large_equipment,0.28,8.6,x
