country,year,category,kt,value,e_waste_generated_kt_x,share_x,population,e_waste_generated_kt_y,eee_put_on_market_kt,e_waste_collection_rate,e_waste_formally_collected_kt,gdp_per_capita,average_household_size,ewaste_generated_kg_inh,eee_placed_on_market_kg_inh,ewaste_formally_collected_kg_inh,share_y
Argentina,2018,temperature_exchange_equipment_kt,98,,454.0,0.21585903083700442,44244593.0,454.0,660.0,2.0,8.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2018,temperature_exchange_equipment_kt,9,,75.0,0.12,11521527.0,75.0,130.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2018,temperature_exchange_equipment_kt,46,,196.0,0.23469387755102042,18530618.0,196.0,311.0,3.0,6.0,25154.0,3.6,7.9,13.4,0.4,
Ecuador,2018,temperature_exchange_equipment_kt,18,,92.0,0.1956521739130435,16831025.0,92.0,155.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2018,temperature_exchange_equipment_kt,14,,73.0,0.1917808219178082,16718848.0,73.0,133.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2018,temperature_exchange_equipment_kt,7,,29.0,0.2413793103448276,9709832.0,29.0,53.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2018,temperature_exchange_equipment_kt,4,,17.0,0.23529411764705882,6526322.0,17.0,23.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2018,temperature_exchange_equipment_kt,10,,44.0,0.22727272727272727,4130986.0,44.0,76.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2018,temperature_exchange_equipment_kt,32,,186.0,0.17204301075268819,31848448.0,186.0,317.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2018,temperature_exchange_equipment_kt,10,,40.0,0.25,3425538.0,40.0,47.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
Venezuela,2018,temperature_exchange_equipment_kt,76,,291.0,0.2611683848797251,30336770.0,291.0,269.0,0.0,0.0,17527.0,3.3,9.5,9.9,0.04,
Argentina,2019,temperature_exchange_equipment_kt,103,,471.0,0.21868365180467092,44582599.0,471.0,634.0,3.0,13.0,23040.0,3.3,7.7,7.0,0.3,
Bolivia (Plurinational State of),2019,temperature_exchange_equipment_kt,10,,80.0,0.125,11692283.0,80.0,122.0,3.0,2.0,9110.0,3.5,4.7,7.5,0.2,
Chile (Republic of),2019,temperature_exchange_equipment_kt,48,,205.0,0.23414634146341465,18872283.0,205.0,309.0,3.0,7.0,25154.0,3.6,7.9,13.4,0.4,
 Ecuador,2019,temperature_exchange_equipment_kt,19,,97.0,0.1958762886597938,17200318.0,97.0,148.0,3.0,3.0,11878.0,3.8,5.1,7.5,0.2,
Guatemala,2019,temperature_exchange_equipment_kt,15,,78.0,0.19230769230769232,16981503.0,78.0,130.0,0.0,0.0,17667.0,4.8,2.9,4.7,,
Honduras,2019,temperature_exchange_equipment_kt,8,,30.0,0.26666666666666666,9875868.0,30.0,49.0,0.0,0.0,5981.0,3.9,2.6,2.9,0.1,
Nicaragua,2019,temperature_exchange_equipment_kt,4,,18.0,0.2222222222222222,6618143.0,18.0,24.0,0.0,0.0,1905.26,5.0,2.5,3.2,0.01,
Panama,2019,temperature_exchange_equipment_kt,11,,47.0,0.23404255319148937,4199523.0,47.0,70.0,0.0,0.0,32850.0,3.7,8.6,15.2,0.02,
Peru,2019,temperature_exchange_equipment_kt,34,,196.0,0.17346938775510204,32559440.0,196.0,307.0,2.0,3.0,13416.0,3.8,6.0,7.5,0.1,
Uruguay,2019,temperature_exchange_equipment_kt,10,,41.0,0.24390243902439024,3428546.0,41.0,49.0,3.0,1.0,24006.0,2.8,12.0,14.8,0.4,
