Country,Year,Population,E_waste_generated_kt,EEE_put_on_market_kt,E_waste_collection_rate,E_waste_formally_collected_kt,E_waste_imported_kt,E_waste_exported_kt,E_waste_generated_per_capita,EEE_put_on_market_per_capita,Temperature_Exchange_Equipment_kt,Screens_kt,Lamps_kt,Large_Equipment_kt,Small_Equipment_kt,Small_IT_kt,source_file
Colombia,2018,48796138,327,499,1,3,,,6.7,10.2,89,41,8,55,104,30,e-waste-2018_fixed.csv
Argentina,2018,44244593,454,660,2,8,,,10.3,14.9,98,47,8,138,134,30,e-waste-2018_fixed.csv
Bolivia (Plurinational State of),2018,11521527,75,130,3,2,,,6.5,11.3,9,5,2,17,35,6,e-waste-2018_fixed.csv
Brazil,2018,209332364,2141,2930,3,69,,,10.2,14.0,623,191,43,593,559,131,e-waste-2018_fixed.csv
Chile (Republic of),2018,18530618,196,311,3,6,,,10.6,16.8,46,20,3,55,58,14,e-waste-2018_fixed.csv
Costa Rica,2018,5017764,59,77,0,0,,,11.8,15.3,10,7,1,10,25,6,e-waste-2018_fixed.csv
Ecuador,2018,16831025,92,155,3,3,,,5.4,9.2,18,8,3,12,42,8,e-waste-2018_fixed.csv
El Salvador,2018,6273173,35,55,1,0,,,5.5,8.8,8,4,2,4,12,4,e-waste-2018_fixed.csv
Guatemala,2018,16718848,73,133,0,0,,,4.4,8.0,14,7,3,9,34,7,e-waste-2018_fixed.csv
Honduras,2018,9709832,29,53,0,0,,,3.0,5.4,7,4,1,4,10,3,e-waste-2018_fixed.csv
Mexico,2018,123467563,1274,2128,4,45,,,10.3,17.2,323,105,20,366,375,85,e-waste-2018_fixed.csv
Nicaragua,2018,6526322,17,23,0,0,,,2.6,3.6,4,2,1,2,7,2,e-waste-2018_fixed.csv
Panama,2018,4130986,44,76,0,0,,,10.8,18.3,10,4,1,11,15,3,e-waste-2018_fixed.csv
Paraguay,2018,6399642,46,76,0,0,,,7.1,11.9,10,6,1,6,19,3,e-waste-2018_fixed.csv
Peru,2018,31848448,186,317,2,3,,,5.8,10.0,32,25,7,21,85,17,e-waste-2018_fixed.csv
Uruguay,2018,3425538,40,47,3,1,,,11.6,13.8,10,5,2,8,12,3,e-waste-2018_fixed.csv
Venezuela,2018,30336770,291,269,0,0,,,9.6,8.9,76,25,6,79,83,20,e-waste-2018_fixed.csv
Haiti,2018,10938474,12,11,0,0,,,1.1,1.0,3,1,1,1,4,1,e-waste-2018_fixed.csv
Dominican Republic,2018,10706643,79,167,0,0,,,7.4,15.6,18,9,2,18,26,6,e-waste-2018_fixed.csv
Colombia,2019,49757785,342,522,1,4,,,6.9,10.5,94,41,9,57,110,31,e-waste-2019_fixed.csv
Argentina,2019,44582599,471,634,3,13,,,10.6,14.2,103,47,9,144,139,30,e-waste-2019_fixed.csv
Bolivia (Plurinational State of),2019,11692283,80,122,3,2,,,6.8,10.5,10,5,2,18,38,6,e-waste-2019_fixed.csv
Brazil,2019,211000821,2235,2478,3,72,,,10.6,11.7,657,192,47,623,583,133,e-waste-2019_fixed.csv
Chile (Republic of),2019,18872283,205,309,3,7,,,10.9,16.4,48,21,4,58,61,14,e-waste-2019_fixed.csv
Costa Rica,2019,5063704,61,78,8,5,,,12.0,15.5,10,7,1,10,26,6,e-waste-2019_fixed.csv
 Ecuador,2019,17200318,97,148,3,3,,,5.7,8.6,19,9,3,13,45,9,e-waste-2019_fixed.csv
El Salvador,2019,6279512,36,61,1,0,,,5.7,9.6,8,4,2,5,13,4,e-waste-2019_fixed.csv
Guatemala,2019,16981503,78,130,0,0,,,4.6,7.7,15,7,3,9,35,7,e-waste-2019_fixed.csv
Honduras,2019,9875868,30,49,0,0,,,3.1,4.9,8,4,1,4,11,3,e-waste-2019_fixed.csv
Mexico,2019,124560160,1338,1856,4,47,,,10.7,14.9,339,108,23,388,393,87,e-waste-2019_fixed.csv
Nicaragua,2019,6618143,18,24,0,0,,,2.7,3.7,4,2,1,2,7,2,e-waste-2019_fixed.csv
